Authors,Year,N (sample size),Input Signal Type (tonometry/oscillometry/PVR),Measurement Location (carotid/brachial/ankle/femoral),Output Measures (central BP/PWV/augmentation index/wave reflection),Validation Method (invasive catheter/reference device),Key Correlation (r values),Study Design (cross-sectional/longitudinal/cohort),Follow-up Duration if any,Clinical Outcomes if any (mortality/CV events),Source
Wang et al.,2009,1272,tonometry,carotid; brachial,central BP; PWV; augmentation index,reference device,r=0.41 (central SBP to LVM),longitudinal cohort,10.8 years,all-cause and cardiovascular mortality,[1]
Wang et al.,2010,1272,tonometry,carotid; femoral; brachial,PWV; wave reflection (Pb); augmentation index (AI); augmented pressure (Pa),Not in source,Not in source,longitudinal cohort,median 15 years,15-year cardiovascular mortality; all-cause mortality; cerebrovascular deaths,[2]
Cheng et al.,2013,1272 (Derivation); 2501 (Validation),tonometry,carotid; radial,central BP,reference device,Not in source,longitudinal cohort,15 years (derivation); 10 years (validation),cardiovascular mortality,[3]
Yavarimanesh et al.,2022,"100 (50 AAA, 50 Control)",tonometry,carotid; femoral; brachial,maximal aortic diameter; carotid-femoral PTT; area ratio; carotid upstroke index (CUI),reference image (ultrasound/CT),R=0.61 (carotid+femoral model); R=0.53 (carotid model),case-control; longitudinal,4 weeks and 3 years,Not in source,[4]
Cheng et al.,2010,"100 (50 Gen, 50 Val)",oscillometry; PVR (PVP),brachial; central aortic,central BP; wave reflection; arterial compliance,invasive catheter,r=0.98 (invasive); r=0.93 (noninvasive),prospective cohort,Not in source,Not in source,[5]
Cheng et al.,2012,"140 (40 Gen, 100 Val)",oscillometry; PVR (PVP),brachial; central aortic,"central BP (SBP-C, PP-C)",invasive catheter,r=0.86 to 0.93 (PP-C estimates),prospective cohort,Not in source,Not in source,[6]
Cheng et al.,2013,"141 (56 Gen, 85 Val)",oscillometry; PVR (PVP),brachial; central aortic,"central BP (SBP, PP, DBP)",invasive catheter,r=0.97 (SBP); r=0.95 (PP); r=0.83 (DBP),prospective cohort,Not in source,Not in source,[7]
Ghasemi et al.,2018,164,tonometry; PVR,carotid; brachial; ankle,central BP; PWV (PTT); pulse pressure amplification,reference device (carotid tonometry),r \geq 0.78 ; r=1.00 (SP); r=0.99 (PP),retrospective cohort,Not in source,Not in source,[8]
Kim et al.,2024,"158 (79 AAA, 79 Control)",tonometry,carotid; femoral,wave reflection (RC); PTT,reference device (tonometry),r > 0.95 (goodness of fit),retrospective cohort,Not in source,Not in source,[9]
Lee et al.,2016,64,tonometry; oscillometry,carotid; ankle,"wave reflection (RM, RI); PTT",reference device (carotid-femoral tonometry),r=0.68 (PTT); r=0.53 (RM); r=0.54 (RI),cross-sectional,Not in source,Not in source,[10]
Shih et al.,2013,"140 (40 Gen, 100 Val)",oscillometry; PVR,brachial,central BP,invasive catheter,r=0.93,cross-sectional,Not in source,Not in source,[11]
Shih et al.,2014,"140 (40 Gen, 100 Val)",oscillometry,brachial,central BP,invasive catheter,r=0.99 (derivation); r=0.93 (validation),cross-sectional,Not in source,Not in source,[12]
Shih et al.,2016,"140 (40 Gen, 100 Val)",PVR,brachial,central BP,invasive catheter,r=0.96 (ICC),cross-sectional,Not in source,Not in source,[13]
Yu et al.,2008,320,tonometry; oscillometry,carotid; femoral; brachial; ankle,PWV; augmentation index,reference device,r=0.79,cross-sectional,Not in source,Not in source,[14]
Chuang et al.,2005,1329,oscillometry; PVR,brachial; ankle,PWV,Not in source,r=0.69 (with SBP),cross-sectional,Not in source,Not in source,[15]
Dhamotharan et al.,2023,122,oscillometry,brachial,central BP,invasive catheter,Not in source,cross-sectional,Not in source,Not in source,[16]
Lee et al.,2013,"102 (51 Case, 51 Control)",tonometry; PVR (plethysmography),carotid; femoral; brachial; ankle,PWV; augmentation index; wave reflection,Not in source,Not in source,cohort,4 weeks,Not in source,[17]
Liu et al.,2017,145,oscillometry,brachial,central BP,invasive catheter,Not in source,cross-sectional,Not in source,Not in source,[18]
